=== Baseline cProfile ===
         3769817 function calls (3693713 primitive calls) in 322.627 seconds

   Ordered by: cumulative time
   List reduced from 5607 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     68/2    0.001    0.000  322.619  161.309 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\monitor.py:252(_check_server)
    133/1    0.001    0.000  322.578  322.578 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\monitor.py:76(target)
     68/1    0.001    0.000  322.578  322.578 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\monitor.py:210(_run)
      2/1    0.008    0.004  322.472  322.472 D:\workspace_cn\workspace\DEMO_Stroke11162226\scripts\perf_ippg.py:16(run_main_once)
      2/1    0.089    0.044  303.335  303.335 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:700(main)
    30/15    0.000    0.000  279.296   18.620 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\_csot.py:118(csot_wrapper)
    14/12    0.000    0.000  279.171   23.264 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:2016(_retryable_read)
  952/948    0.000    0.000  260.070    0.274 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1288(__next__)
  952/948    0.002    0.000  260.069    0.274 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1258(next)
    23/20    0.000    0.000  260.066   13.003 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1176(_refresh)
    13/11    0.001    0.000  260.065   23.642 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1093(_send_message)
    13/11    0.000    0.000  260.064   23.642 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:1888(_run_operation)
