         24772 function calls (24478 primitive calls) in 35.297 seconds

   Ordered by: cumulative time
   List reduced from 382 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   35.297   35.297 D:\workspace_cn\workspace\DEMO_Stroke11162226\process_vascular_analysis.py:1753(process_all_files)
        1    0.000    0.000   35.296   35.296 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\_base.py:646(__exit__)
        1    0.000    0.000   35.296   35.296 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\process.py:837(shutdown)
      2/1    0.000    0.000   35.291   35.291 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\threading.py:1056(join)
      2/1    0.001    0.000   35.291   35.291 {method 'join' of '_thread._ThreadHandle' objects}
      2/1    0.000    0.000   35.290   35.290 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\threading.py:998(_bootstrap)
      2/1    0.000    0.000   35.290   35.290 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\threading.py:1025(_bootstrap_inner)
        1    0.000    0.000   35.290   35.290 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\process.py:330(run)
        1    0.000    0.000   35.290   35.290 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\process.py:549(join_executor_internals)
        1    0.000    0.000   35.290   35.290 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\process.py:553(_join_executor_internals)
       25    0.002    0.000   34.877    1.395 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\_base.py:263(wait)
       17    0.000    0.000   34.862    2.051 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000   34.861   34.861 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\multiprocessing\queues.py:145(join_thread)
        1    0.000    0.000   34.861   34.861 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\multiprocessing\queues.py:212(_finalize_join)
       44    0.001    0.000   34.782    0.791 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
